"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"14698",-6.34747116,53.72662447,"4c07d11e-29bd-851d-e053-ca3ca8c0ca7f",50292.4392963573,"Louth","147014021","Fair Gate"
"14699",-6.35349475,53.73011001,"4c07d11e-29be-851d-e053-ca3ca8c0ca7f",92260.2540860772,"Louth","147035022","St. Peter's"
"14700",-6.2522988,53.70627515,"4c07d11e-2a33-851d-e053-ca3ca8c0ca7f",186035.363517627,"Meath","167082033","St. Mary's (Part Rural)"
"14701",-6.48262383,53.77607434,"4c07d11e-29b3-851d-e053-ca3ca8c0ca7f",155931.050440043,"Louth","147011006","Collon"
"14702",-6.48476192,53.77938638,"4c07d11e-29b4-851d-e053-ca3ca8c0ca7f",84397.1439500116,"Louth","147011004","Collon"
"14703",-6.38719153,53.99300967,"4c07d11e-2a2b-851d-e053-ca3ca8c0ca7f",74038.8600994349,"Louth","147019035","Dundalk Rural"
"14704",-6.10899464,53.57798329,"4c07d11e-29ad-851d-e053-ca3ca8c0ca7f",77039.2746900618,"Fingal","267123018","Skerries"
"14705",-6.32800518,53.71999439,"4c07d11e-29d8-851d-e053-ca3ca8c0ca7f",143285.980912641,"Louth","147014031","Fair Gate"
"14706",-6.33345638,53.72512591,"4c07d11e-29d9-851d-e053-ca3ca8c0ca7f",78265.65340662,"Louth","147035014","St. Peter's"
"14707",-6.26864289,53.76243121,"4c07d11e-2a49-851d-e053-ca3ca8c0ca7f",125438.699692845,"Louth","147038012","Termonfeckin"
"14708",-6.26498909,53.76393463,"4c07d11e-2a4a-851d-e053-ca3ca8c0ca7f",67334.9310202003,"Louth","147038009","Termonfeckin"
"14709",-6.24032801,53.68018715,"4c07d11e-2a4b-851d-e053-ca3ca8c0ca7f",41150.2845847607,"Meath","167038006","Julianstown"
